settings,average_time,std,failure_count
4,0.16816966666666666,16517794.391369436,0
5,0.23959633333333336,12305830.930452803,0
6,0.41238400000000003,15203268.091652751,0
7,0.5481986666666666,11230041.327716572,0
8,0.8170903333333335,11167526.056482797,0
9,1.0275316666666667,369031.46508424217,0
10,1.2794453333333333,1367540.9398706213,0
11,1.7466606666666669,17843234.709236126,0
12,2.0641160000000003,28305468.55291394,0
13,2.489339,3953833.91996511,0
14,2.8240526666666668,16047267.396316698,0
15,3.621315666666667,14351111.788135286,0
16,4.183432666666667,10886290.624246422,0
17,4.751714666666667,42622726.87454689,0
18,5.853000333333333,27001610.277084507,0
19,6.671585,93142625.95968974,0
20,7.574483333333333,44503130.57402691,0
22,10.062886,159455277.3810471,0
23,11.180238333333335,14142076.823751485,0
24,12.291759666666668,42226753.6863644,0
32,28.2657838,198875526.54150283,0
64,252.4656763,1597295392.2498524,0
128,3000.3469453333337,55275271151.45384,0
